"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1975",8.27259871641467,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1976",2.67242678454815,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1977",-3.27315426390724,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1978",21.7096611026808,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1979",-12.297398387499,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1980",-12.3300004738663,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1981",16.3558726555321,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1982",-21.8609188461003,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1983",43.2970691397658,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1984",0.194988383670749,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1985",-6.9852180033953,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1986",1.07282763532763,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1987",-2.1581149526536,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1988",4.41143371595769,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1989",8.19142056477689,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1990",5.54692169754933,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1991",-5.30826443160797,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1992",5.25896096646865,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1993",4.14015151515152,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1994",-14.651002073255,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1995",21.146388237801,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1996",8.08034614978718,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1997",0.55331337065486,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1998",10.2932608273451,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1999",6.71773199506956,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2000",3.83356708742403,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2001",3.15703048441349,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2002",-21.602608539372,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2003",25.5149828066154,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2004",4.28429786567864,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2005",2.85728582866294,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2006",-15.0401362198978,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2007",8.09402468004696,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2008",17.0816337341739,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2009",-0.748817953532559,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2010",3.46690371991248,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2011",0.973718414733535,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2012",-0.728700774517291,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2013",1.1450297795653,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2014",1.4254052409717,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2015",-7.3910621706157,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2016",9.55861941334319,
